Simulation,Slice,Fractal Dimension
1,1,1.6834113663882415
1,2,1.7362775264791352
1,3,1.624189703270861
1,4,1.7501051458121533
1,5,1.7443304593920477
1,6,1.7368626051657114
1,7,1.7181551457444773
1,8,1.6983536827176822
1,9,1.5647083437016107
1,10,1.6920027675084963
1,11,1.6772086930936023
1,12,1.6680257074383111
1,13,1.50266328351088
1,14,1.4944500027001872
1,15,1.471382887495546
1,16,1.5355951603810105
1,17,1.5224563130771667
1,18,1.4347380827803302
1,19,1.4099755569662904
1,20,1.32530170434
1,21,1.2761635683044759
1,22,1.2193325058429876
1,23,1.2588555850712635
1,24,1.1954616690845201
1,25,1.2049465101829107
1,26,1.1354280677910047
1,27,1.098481212374515
1,28,1.0662112122259582
1,29,0.9217611990827228
1,30,0.938139944652139
2,1,1.4644322641463472
2,2,1.513473741508681
2,3,1.5198186320181983
2,4,1.5202297316590963
2,5,1.5162856108155705
2,6,1.5201277303695713
2,7,1.5070290425275576
2,8,1.519035469756714
2,9,1.495017835695011
2,10,1.4964484437207477
2,11,1.506400823500674
2,12,1.5035393034963986
2,13,1.494421213622047
2,14,1.4581987281181965
2,15,1.422728937090459
2,16,1.3957059286740567
2,17,1.3770076263665372
2,18,1.318301182581531
2,19,1.2718271402377321
2,20,1.4256769123771214
2,21,1.3930313180916876
2,22,1.4072492689448046
2,23,1.3920640183097885
2,24,1.3140315191472451
2,25,1.3439023617100443
2,26,1.297314622974743
2,27,1.2213099346562053
2,28,1.2264133474367251
2,29,1.098326354584491
2,30,1.0723494261550222
3,1,1.5488911651866222
3,2,1.5637362008479854
3,3,1.5862843542880114
3,4,1.5615093397338902
3,5,1.555671160744291
3,6,1.5606624035416832
3,7,1.6867644216366444
3,8,1.704730749453772
3,9,1.7076851345468247
3,10,1.676252322053892
3,11,1.646834201801666
3,12,1.6290660410952968
3,13,1.6172837254316086
3,14,1.593564130534707
3,15,1.5711206676347769
3,16,1.546472481976028
3,17,1.522796927750485
3,18,1.5023671792162265
3,19,1.507205665550238
3,20,1.4304502178914862
3,21,1.3712699681085163
3,22,1.3561977399821286
3,23,1.3071316488510303
3,24,1.2098004506180342
3,25,1.1420410342892464
3,26,1.0895160926756142
3,27,1.0644007386648267
3,28,1.024312107198214
3,29,0.9474870179034981
3,30,0.9225406547257743
4,1,1.4255762514513046
4,2,1.480812189604876
4,3,1.4945662358199527
4,4,1.4957873970251203
4,5,1.4937953542482647
4,6,1.4862510312449835
4,7,1.4990738583598793
4,8,1.4894065196504833
4,9,1.494313365439357
4,10,1.4914418608281397
4,11,1.592612493144576
4,12,1.591996517640626
4,13,1.5624300234555863
4,14,1.5690161464775374
4,15,1.5714353600282744
4,16,1.5411115009351881
4,17,1.5136924962739133
4,18,1.4979595154767287
4,19,1.4626019449799026
4,20,1.4371212056429168
4,21,1.3756261776225451
4,22,1.3669800223788562
4,23,1.3311749228057668
4,24,1.2779073521175635
4,25,1.256554295676758
4,26,1.2419371732831543
4,27,1.2043500248381278
4,28,1.1708210810694453
4,29,1.1092970908069628
4,30,1.0490457356726848
5,1,1.6320861414940369
5,2,1.656212830676046
5,3,1.6706642167333174
5,4,1.6717326892275375
5,5,1.6580004082222803
5,6,1.653749348089035
5,7,1.6457758279216306
5,8,1.6340968927514292
5,9,1.634174056071816
5,10,1.6422578995697477
5,11,1.5328640996177696
5,12,1.652560000261727
5,13,1.6194386800598106
5,14,1.5700046474094034
5,15,1.5364968530555256
5,16,1.5123797589718233
5,17,1.4888731262010904
5,18,1.4381380047332408
5,19,1.3953849370444256
5,20,1.3857904376659642
5,21,1.3799629497464179
5,22,1.3376844724869603
5,23,1.3338887034046243
5,24,1.2273046441969953
5,25,1.182095884011227
5,26,1.1153953524317468
5,27,1.1055063965468217
5,28,1.1342076665007914
5,29,1.1293983161779384
5,30,1.11568636399472
