Metodo,Source,Sitie,Coral species,Area,Volume,Sphericity,Packing,Convexity,V_area,V_vol,fractal dimension
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,45931.75929,141506.9688,0.285905776,0.327345192,0.038268086,42.63925683,1.509409458,1.764239481
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,8944.346985,23547.23242,0.444183136,0.53991196,0.180735142,17.19594995,0.996562136,1.993278923
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,24038.49583,56685.77734,0.296865393,0.255850891,0.032210398,42.12051076,1.636011592,1.804494431
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,14972.50846,41974.46484,0.39010334,0.43820245,0.114557981,25.62922904,1.289169967,1.909160086
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,17346.35019,48804.26953,0.372318451,0.385482984,0.093535162,47.03398913,2.242374714,1.922175064
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,9882.360806,19853.49023,0.358796333,0.407079801,0.157016337,34.06702108,1.537422843,2.022985337
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,4672.987403,9118.067383,0.451673605,0.531856344,0.260989464,25.7086009,1.498240676,1.921825474
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,13080.5868,35515.98438,0.399459544,0.539748653,0.189071707,34.785799,1.896364675,1.996222925
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,12828.86636,40570.10938,0.445075098,0.414674023,0.148383854,17.71641489,0.946235235,1.953291273
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,6222.14955,13586.97461,0.442546444,0.526999829,0.225354662,20.46470152,1.206398009,1.947981972
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,9406.185769,25077.19531,0.440476978,0.506800405,0.251350778,29.08803601,1.727352936,1.973722911
photogrammetry,collected ,FUNDEMAR,Acropora cervicornis,24368.10643,58785.69141,0.300038346,0.332219736,0.063725233,58.19165549,2.366773625,1.930591787
scanner,collected ,FUNDEMAR,Acropora cervicornis,46678.07204,132832.1563,0.269715991,0.324989905,0.03552493,49.69269146,1.690856389,1.760983161
scanner,collected ,FUNDEMAR,Acropora cervicornis,12079.84877,21667.95703,0.311148662,0.710450119,0.157670834,30.869122,1.203946562,2.086790178
scanner,collected ,FUNDEMAR,Acropora cervicornis,26548.46801,52347.08984,0.25490187,0.320859701,0.037752854,45.68143061,1.467342379,1.907705569
scanner,collected ,FUNDEMAR,Acropora cervicornis,18096.0853,39011.71484,0.307394564,0.502572155,0.096682763,38.17487281,1.495087076,2.034798875
scanner,collected ,FUNDEMAR,Acropora cervicornis,18801.28277,47215.67969,0.336011499,0.424429521,0.091011829,54.30824617,2.319344774,2.001609921
scanner,collected ,FUNDEMAR,Acropora cervicornis,11566.93937,18738.76758,0.294957662,0.469709065,0.141306673,45.59852521,1.689720986,2.073680208
